1004_at,10855_at,11098_at,13_at,1728_at,202374_at,22835_at,4734_at,4879_at,51186_at,5176_at,5321_at,6876_at,9071_at,label
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.21,7.67,6.61,4.34,9.82,3.61,9.40,8.08,4.32,12.03,4.94,7.89,7.97,4.43,1.00
4.07,5.78,11.07,3.55,13.07,3.21,8.35,7.92,4.08,11.74,8.75,7.51,9.99,4.13,1.00
3.88,4.94,9.54,8.75,11.16,4.28,7.92,7.56,4.17,11.78,6.00,8.07,7.50,3.99,1.00
3.97,6.77,11.47,6.63,10.38,3.18,7.30,8.15,4.37,11.93,6.46,8.22,10.56,4.19,1.00
4.05,7.62,9.48,3.79,11.56,3.45,8.11,8.37,4.14,11.11,7.26,7.18,10.43,4.18,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.96,6.95,4.49,3.82,6.10,3.21,9.46,6.39,3.81,11.10,4.48,3.15,4.61,4.79,0.00
3.91,5.57,11.08,4.67,4.97,3.95,7.22,10.06,8.06,11.96,4.80,3.94,6.64,7.26,0.00
3.90,6.75,9.15,3.80,12.11,7.86,7.38,7.83,6.14,12.50,4.36,6.74,4.52,4.08,0.00
3.88,5.98,9.57,3.79,13.35,7.71,7.54,7.21,4.04,11.98,6.50,8.85,4.75,3.92,0.00
4.17,5.84,12.36,3.76,12.11,4.34,7.49,7.34,4.07,12.43,4.64,10.31,5.33,3.88,0.00
3.77,6.41,9.62,3.61,13.28,7.46,7.45,7.24,4.04,11.67,9.49,8.85,4.07,4.29,0.00
4.11,6.63,8.72,4.72,11.95,3.12,8.30,7.23,4.56,11.86,7.77,4.32,5.70,5.32,0.00
4.42,5.64,5.90,3.93,7.55,3.61,9.74,5.21,3.93,11.29,9.45,3.67,6.05,4.23,0.00
7.86,7.69,10.76,3.90,12.56,3.96,9.20,7.53,4.13,11.86,4.52,3.52,12.58,6.99,0.00
4.01,6.90,6.85,7.72,12.82,3.42,7.86,3.65,4.05,6.44,4.15,6.47,5.01,4.08,1.00
7.89,5.90,11.70,3.72,8.95,3.53,7.74,6.64,9.65,12.06,7.42,8.84,12.72,4.18,0.00
4.01,5.70,10.12,3.83,12.69,3.60,7.78,8.00,4.00,11.45,4.35,3.79,5.29,4.17,1.00
3.95,5.47,5.75,3.92,4.79,3.02,8.07,6.73,4.06,10.87,5.08,7.91,5.20,4.16,0.00
4.92,5.05,12.14,3.83,7.64,3.73,7.24,8.51,9.52,12.35,5.96,5.80,10.93,4.09,0.00
7.12,6.35,13.22,5.26,6.95,3.80,8.16,8.19,4.37,12.15,4.93,4.21,12.62,4.52,0.00
6.95,6.38,10.92,10.29,12.32,6.17,7.57,8.57,4.10,11.20,4.17,8.53,6.75,9.83,0.00
4.18,5.85,4.76,4.03,6.32,3.37,7.86,7.06,3.95,8.97,4.90,3.93,4.75,4.57,0.00
3.98,6.50,11.69,3.56,11.78,3.56,5.03,8.05,4.59,11.71,4.63,4.12,4.87,4.48,0.00
4.15,4.79,4.67,4.02,7.12,3.54,8.89,7.09,4.02,11.33,7.22,3.65,4.69,4.12,0.00
3.88,5.08,10.01,3.72,11.88,3.44,12.35,7.42,8.80,10.15,4.22,3.72,10.23,4.05,0.00
3.90,7.27,10.13,3.99,12.72,3.40,7.61,8.16,3.98,4.32,6.06,6.71,5.40,4.06,1.00
4.08,6.40,8.72,3.69,11.27,4.24,8.57,7.57,4.57,11.70,9.83,3.67,6.89,4.33,0.00
3.94,8.32,6.94,3.99,11.27,3.56,4.80,6.18,4.23,10.73,4.12,4.61,4.78,4.16,1.00
8.26,5.72,10.78,5.52,13.00,3.38,5.99,8.54,4.18,12.75,7.87,10.76,5.95,4.15,1.00
3.83,4.39,6.78,4.15,11.78,3.25,8.25,7.03,4.00,11.09,10.50,3.70,5.55,4.34,1.00
3.84,6.22,11.10,7.26,11.11,3.95,8.02,7.19,3.92,11.40,4.00,8.57,4.84,10.17,0.00
3.95,8.76,11.39,7.48,13.18,4.00,4.74,8.21,4.42,11.67,4.77,5.71,6.03,4.33,1.00
3.89,4.83,5.33,3.93,11.59,3.14,8.05,7.34,4.36,9.99,7.19,4.57,5.54,4.52,0.00
3.92,6.27,9.62,3.94,12.33,3.49,7.84,7.22,4.21,9.98,4.57,3.33,7.40,4.02,0.00
9.46,8.14,12.56,3.80,13.63,3.61,7.72,9.32,4.05,12.13,4.51,3.93,5.85,4.29,0.00
3.98,5.42,4.53,4.00,8.75,3.44,7.97,6.68,4.46,11.26,9.39,8.64,4.57,4.49,0.00
3.97,7.63,11.65,8.88,12.92,3.78,7.88,8.80,4.54,12.27,4.45,4.26,11.12,3.87,1.00
5.82,5.08,5.13,3.87,10.94,3.49,8.99,8.05,3.98,10.66,6.22,3.72,9.40,4.12,1.00
3.95,8.71,10.35,8.84,11.71,3.54,5.14,7.52,4.08,11.67,7.21,8.45,7.92,4.00,1.00
3.90,6.36,4.52,4.00,7.23,3.63,8.73,4.88,3.94,8.80,6.48,3.60,5.45,4.51,0.00
3.91,6.15,4.57,4.24,9.97,3.43,8.71,7.22,6.24,10.97,8.29,5.11,9.67,4.18,1.00
4.04,6.65,4.20,3.93,9.03,3.64,6.18,7.87,4.13,4.52,4.44,10.38,4.42,4.62,1.00
3.89,5.57,10.67,3.86,11.87,8.02,6.19,7.62,4.16,11.82,10.60,9.24,4.67,4.49,0.00
3.94,5.07,10.69,3.84,11.71,3.92,7.75,7.27,4.28,11.93,9.93,9.31,4.54,3.77,1.00
5.20,4.98,8.64,4.25,11.84,3.58,6.98,9.99,11.58,11.69,4.84,3.51,6.75,4.59,0.00
9.12,5.44,9.73,3.62,12.28,3.92,8.34,10.56,4.15,11.46,4.33,3.83,6.97,5.63,0.00
3.67,6.05,11.07,3.80,12.89,7.90,7.75,7.59,3.81,11.69,7.09,9.77,4.93,3.92,1.00
3.88,6.62,11.35,3.99,12.91,3.39,7.08,9.31,5.97,11.81,4.21,8.60,7.81,4.32,1.00
4.02,6.04,11.32,3.71,12.78,5.30,4.91,8.13,4.05,11.07,6.63,9.20,7.33,4.21,1.00
4.01,5.62,4.58,4.63,11.92,3.44,9.03,7.57,3.96,10.84,5.56,7.43,4.72,4.23,1.00
3.83,4.60,12.17,4.73,12.39,3.65,8.75,7.42,4.06,10.85,5.40,3.28,4.28,4.23,0.00
