355_at,51226_at,51260_at,5447_at,54495_at,55106_at,5935_at,90488_at,9609_at,label
8.91,7.08,9.54,8.94,7.25,7.19,6.90,9.84,4.32,0.00
5.38,5.88,9.18,6.50,9.86,4.66,7.87,10.58,4.53,1.00
8.73,5.40,9.30,8.85,7.51,7.01,7.45,9.07,4.72,1.00
6.24,5.91,10.13,8.77,9.37,6.75,8.71,8.06,4.73,1.00
10.65,8.72,10.25,6.97,9.57,9.95,8.49,10.24,5.58,0.00
9.31,6.66,10.07,6.79,10.41,7.63,8.70,11.14,8.08,1.00
8.50,6.19,10.30,8.00,9.52,4.73,7.91,10.26,5.49,0.00
8.02,8.02,9.34,7.70,9.46,9.17,9.14,11.06,6.17,1.00
8.04,5.23,9.97,9.14,8.73,7.52,7.83,9.16,5.95,0.00
6.74,5.10,9.41,8.79,8.19,7.40,7.63,9.00,5.49,0.00
8.27,7.41,10.35,8.50,9.21,4.23,9.01,10.25,5.12,0.00
8.05,8.31,9.74,7.71,9.59,6.57,7.27,10.85,4.92,0.00
6.20,7.53,10.04,7.26,9.33,4.59,6.93,11.39,5.01,0.00
9.13,7.49,10.27,7.99,7.63,4.34,7.99,9.04,4.62,0.00
7.73,6.25,9.99,9.76,8.93,7.55,8.14,8.07,5.52,0.00
4.94,6.06,9.25,6.13,10.30,4.37,8.63,9.05,4.80,1.00
6.66,6.33,10.24,7.98,8.51,6.77,7.17,9.58,6.35,1.00
6.72,5.51,10.62,8.68,9.73,7.93,8.76,8.86,4.68,1.00
9.19,5.78,10.04,7.28,8.65,4.60,7.93,9.68,5.43,0.00
7.22,7.55,9.86,9.59,9.23,8.11,8.68,11.22,5.60,0.00
7.64,5.11,8.57,6.96,10.04,6.92,8.81,6.72,4.51,1.00
7.21,7.26,9.09,6.91,10.05,4.23,8.79,7.53,4.45,1.00
9.87,5.67,10.15,6.77,9.17,4.47,8.02,9.84,4.82,0.00
8.93,5.79,9.92,7.48,8.38,8.46,8.50,9.52,4.90,1.00
6.13,5.84,9.31,6.35,10.17,4.55,8.47,10.06,8.72,1.00
6.89,7.32,9.23,6.28,10.20,8.29,9.06,11.66,4.61,1.00
7.72,5.42,9.49,6.78,10.04,4.54,9.25,10.78,5.04,1.00
7.94,4.59,9.76,7.23,8.84,7.33,8.20,10.13,4.50,1.00
8.01,6.62,9.72,6.44,8.65,4.44,8.49,9.56,4.90,0.00
9.03,6.21,10.02,7.86,9.52,8.03,9.00,9.25,5.61,1.00
8.79,5.04,9.43,7.86,8.68,8.86,8.75,9.51,4.80,1.00
9.86,6.32,9.82,7.04,9.20,4.09,8.60,9.96,5.58,0.00
7.01,5.53,9.66,9.08,8.58,7.03,7.60,10.00,5.04,0.00
6.14,6.47,9.39,9.17,9.66,4.58,8.85,10.03,4.82,0.00
9.25,6.01,9.97,8.18,8.47,7.45,8.09,9.73,6.09,1.00
9.23,5.91,9.53,7.43,8.54,9.45,8.09,10.10,4.69,1.00
7.03,5.90,9.83,8.07,9.45,7.26,8.50,10.52,5.10,0.00
4.46,5.21,10.21,7.51,8.56,4.37,7.86,10.48,4.49,0.00
10.15,5.23,10.08,7.21,8.78,4.76,8.37,8.97,4.41,0.00
5.54,8.61,8.70,7.59,10.65,3.94,8.61,11.01,4.41,0.00
6.28,4.77,9.98,7.49,9.53,4.23,8.04,11.18,4.35,0.00
4.18,6.74,9.48,8.28,6.68,9.48,7.06,10.54,4.28,0.00
7.70,7.47,9.37,9.62,9.90,4.54,8.59,11.02,5.68,0.00
7.82,8.46,10.39,6.76,10.10,8.10,8.75,10.34,5.41,0.00
4.53,5.26,9.25,5.46,9.62,4.93,9.33,10.72,4.37,1.00
7.62,4.73,8.95,8.62,8.60,4.93,8.65,9.91,5.61,1.00
7.51,8.00,9.18,7.29,9.43,7.49,8.61,10.56,4.68,1.00
4.68,4.84,8.73,8.68,9.73,4.18,8.86,10.77,5.60,1.00
8.35,9.20,9.07,7.01,9.55,6.60,8.39,10.77,4.44,0.00
8.03,8.24,8.95,7.84,10.57,3.93,7.95,10.04,4.34,0.00
8.62,8.90,3.50,7.39,9.58,8.87,8.65,11.50,5.26,1.00
7.01,6.66,9.83,7.25,10.20,4.45,9.09,7.85,4.66,1.00
5.60,7.35,8.87,7.12,9.79,4.14,8.68,9.77,5.12,1.00
4.27,5.25,9.84,9.28,8.62,7.03,7.62,9.84,4.49,0.00
8.39,8.84,9.71,8.84,10.04,9.18,8.64,10.72,4.93,0.00
4.12,4.74,9.35,9.93,8.80,6.30,8.36,10.13,5.58,1.00
8.22,5.15,9.62,9.39,7.74,5.53,8.78,9.25,7.26,0.00
6.47,5.49,9.82,7.76,9.01,4.32,8.51,10.98,5.14,1.00
7.43,9.95,9.92,7.59,9.78,8.23,8.07,11.62,4.65,0.00
7.44,9.08,11.06,7.40,9.04,8.07,6.78,10.02,5.59,0.00
5.93,7.34,9.12,7.44,9.77,4.99,7.43,10.25,5.45,0.00
4.48,6.22,9.48,6.83,7.86,4.32,8.61,9.91,5.26,1.00
4.31,5.43,9.70,7.35,8.99,4.25,8.04,10.15,5.18,0.00
4.59,7.34,8.85,7.36,8.94,4.73,6.82,9.98,6.45,0.00
9.00,8.81,9.57,7.16,9.64,7.40,8.05,10.64,5.48,0.00
5.07,5.49,10.47,8.99,9.18,4.58,9.00,9.37,6.31,0.00
