100132815_at,10406_at,10536_at,1236_at,1281_at,129607_at,1365_at,142678_at,153579_at,1690_at,170712_at,1839_at,221120_at,23641_at,2697_at,27345_at,28231_at,283897_at,339766_at,3625_at,5570_at,56994_at,57153_at,5783_at,6451_at,7620_at,79605_at,9308_at,9590_at,9603_at,label
6.12,12.09,5.52,3.96,3.84,4.14,4.04,6.13,3.95,7.18,3.54,6.56,8.13,4.45,4.42,8.72,5.90,6.15,3.66,4.33,4.53,10.27,8.51,7.65,9.53,4.70,3.93,6.40,9.51,6.67,0.00
5.20,7.17,4.64,3.88,7.44,4.67,4.21,9.44,5.80,9.41,3.89,7.04,8.79,5.21,10.04,8.80,7.42,3.40,4.20,5.49,3.77,9.84,7.68,8.51,9.39,4.41,6.31,6.58,9.30,5.62,0.00
3.95,4.15,4.17,4.09,7.62,3.75,4.16,6.78,4.59,4.70,3.90,6.11,9.55,10.53,13.12,7.56,7.94,3.65,4.15,4.74,3.33,9.48,4.25,9.28,5.01,4.23,5.29,6.20,6.61,5.31,1.00
6.18,4.52,3.68,4.27,3.85,4.16,3.91,7.23,3.88,4.74,3.82,7.36,9.54,4.94,3.72,5.68,6.64,3.63,3.81,4.72,3.84,9.72,5.26,8.29,8.50,4.13,4.15,6.54,4.43,7.35,1.00
7.39,8.62,4.40,4.01,3.86,11.99,6.46,5.76,4.00,7.60,3.77,8.18,9.10,5.01,6.10,7.28,9.86,3.41,3.44,11.07,4.86,8.92,9.49,7.88,10.13,5.21,4.01,8.71,9.88,9.18,0.00
6.39,4.28,4.84,4.35,4.03,4.78,9.01,7.35,8.96,4.49,4.10,7.58,7.80,5.17,3.61,5.09,9.30,3.47,3.51,4.93,7.40,8.92,6.85,9.34,6.60,7.67,3.93,6.93,4.78,8.58,1.00
6.75,5.19,5.73,3.85,3.96,3.77,3.96,5.56,6.99,8.58,3.44,8.81,8.90,8.89,9.65,7.55,9.23,3.43,3.57,4.63,3.95,10.41,6.98,6.59,9.04,4.86,4.64,8.33,10.62,7.54,1.00
7.00,4.55,4.29,8.38,3.80,4.02,4.21,5.88,11.18,9.96,3.65,9.32,4.46,5.24,3.20,9.77,8.67,5.15,3.97,4.34,3.45,3.57,6.55,4.62,10.71,5.70,4.18,9.54,4.83,7.67,0.00
7.04,4.66,4.24,4.12,4.08,3.93,10.96,5.73,6.75,5.83,4.02,6.03,7.91,12.01,4.40,5.35,8.40,3.72,4.18,8.65,8.75,10.73,8.39,7.79,11.02,3.82,4.99,6.45,4.71,5.86,0.00
8.03,5.52,3.78,3.76,13.05,9.07,4.06,6.49,8.18,10.14,4.01,6.82,9.16,7.63,11.01,8.55,6.03,3.55,3.59,6.25,3.80,10.15,6.81,9.09,9.54,6.96,6.52,7.80,8.54,5.15,1.00
