10396_at,10653_at,10924_at,221711_at,53832_at,55510_at,85027_at,9473_at,95681_at,label
6.09,10.52,7.29,4.37,7.18,4.22,10.20,4.65,4.48,1.00
3.57,3.87,7.53,5.58,3.87,7.51,9.59,5.11,8.24,1.00
6.32,11.87,9.32,3.85,8.01,3.62,9.21,4.76,7.07,1.00
3.70,4.18,7.85,6.17,4.18,3.54,6.51,4.70,8.54,0.00
3.75,8.76,6.73,3.69,3.85,3.47,10.07,4.88,7.08,0.00
3.54,11.00,7.05,3.81,4.40,3.87,8.07,6.66,8.07,1.00
4.16,10.26,7.82,3.66,3.89,6.88,7.87,4.87,7.37,1.00
5.04,7.64,4.01,4.01,4.08,3.87,4.41,5.28,9.71,0.00
4.31,3.92,5.92,5.02,3.95,3.97,7.03,4.65,10.11,0.00
4.62,4.42,6.95,4.58,3.98,7.76,7.48,3.99,7.65,1.00
3.91,4.03,9.38,3.95,3.95,6.83,9.75,4.77,8.30,1.00
3.78,3.31,9.32,4.23,3.75,3.56,7.32,4.19,8.41,0.00
3.65,4.04,8.89,3.69,3.90,6.39,6.35,4.83,8.73,1.00
3.73,3.75,8.82,3.94,3.88,4.01,6.14,5.21,8.36,1.00
3.89,3.93,8.31,3.87,3.64,3.35,10.77,4.99,9.72,0.00
7.70,11.52,6.99,3.82,4.73,3.64,6.47,4.13,6.99,1.00
7.30,12.59,7.55,3.52,7.04,3.66,4.73,4.13,7.37,0.00
