2172_at,29968_at,4316_at,50619_at,5243_at,55769_at,56975_at,79710_at,8460_at,8974_at,91607_at,label
4.34,13.12,3.80,8.13,3.95,3.45,8.41,9.75,6.95,10.31,3.95,1.00
4.41,4.37,4.35,7.23,4.06,7.92,8.55,7.43,7.29,10.75,3.76,0.00
5.01,8.35,4.45,6.61,4.13,9.00,8.29,7.77,6.76,9.59,7.15,0.00
7.68,10.10,13.22,5.61,9.14,8.26,4.58,9.28,6.96,9.09,3.52,0.00
4.60,11.67,4.16,5.44,4.12,5.03,7.25,7.12,6.95,6.83,8.97,1.00
4.80,10.82,9.22,7.16,3.85,3.59,7.92,8.45,7.04,10.81,4.06,1.00
5.05,11.78,5.97,6.88,4.76,7.48,9.04,8.89,7.10,10.31,7.78,1.00
4.69,9.24,5.16,4.42,3.95,8.49,9.15,7.03,8.33,9.61,3.67,1.00
7.43,9.93,4.26,6.72,3.73,3.52,7.96,7.82,6.93,10.24,6.38,1.00
7.35,11.00,13.89,5.53,3.94,7.13,3.83,7.07,8.65,9.60,3.52,0.00
4.94,8.75,4.40,5.79,6.39,7.38,3.76,7.23,7.15,4.60,7.55,0.00
4.83,11.28,4.35,5.10,4.08,8.19,7.85,7.85,6.57,8.63,8.35,1.00
5.09,10.87,4.10,6.72,4.01,7.22,8.74,8.45,8.06,9.57,9.41,1.00
5.35,11.51,4.17,10.25,4.50,9.07,7.65,5.12,7.39,3.39,8.00,1.00
4.14,10.62,3.84,6.43,3.85,7.74,6.18,7.36,9.28,9.41,6.85,0.00
4.93,5.65,4.15,5.22,3.79,10.29,8.63,9.30,6.55,9.75,8.44,0.00
8.39,10.42,4.21,6.50,9.29,3.75,5.47,7.39,7.63,8.43,3.43,1.00
4.78,11.71,4.47,5.01,9.66,9.76,8.39,8.31,7.06,9.81,4.07,0.00
6.86,10.80,5.41,4.36,7.45,10.27,8.64,8.93,9.79,10.78,3.58,0.00
4.26,8.40,4.07,4.44,5.02,8.03,11.39,7.74,9.67,10.96,6.54,0.00
4.99,9.79,5.28,4.25,4.06,7.75,10.63,8.41,9.33,10.09,8.70,0.00
5.14,4.43,4.25,5.43,3.69,8.37,7.48,9.90,4.29,9.97,3.97,0.00
