154141_at,200150_at,23283_at,27445_at,3397_at,3487_at,400798_at,50865_at,55086_at,751071_at,79633_at,label
5.65,3.79,8.49,3.83,4.60,3.87,3.87,6.49,8.01,5.54,4.33,0.00
7.98,3.90,7.97,3.85,7.17,7.00,4.53,10.83,3.86,5.43,4.32,0.00
4.65,3.65,8.40,4.10,4.74,4.46,8.09,6.11,8.68,8.04,4.08,0.00
7.41,3.88,7.99,5.49,12.64,7.42,6.60,10.27,5.26,5.79,4.12,1.00
7.58,3.61,7.81,4.59,10.56,8.86,4.38,11.84,3.73,6.48,5.82,1.00
6.57,3.74,9.34,6.01,12.34,12.46,4.08,9.85,3.92,5.53,4.72,1.00
4.51,3.47,8.29,3.59,8.01,4.49,6.87,6.91,7.98,5.92,3.91,1.00
6.18,3.47,7.95,4.53,11.10,10.55,4.43,10.47,3.96,6.68,4.39,0.00
4.28,3.67,8.38,3.77,4.82,4.21,5.58,6.04,8.83,7.47,3.92,0.00
6.27,3.68,9.46,12.66,4.47,6.75,5.27,10.41,4.32,6.05,5.67,0.00
6.28,3.73,8.31,5.99,14.05,7.66,4.45,11.45,5.75,5.52,4.10,1.00
6.62,3.87,8.25,7.44,10.40,5.31,4.05,11.11,7.76,5.82,5.52,0.00
5.69,3.67,7.92,4.96,12.50,9.79,3.96,10.21,6.31,5.17,4.08,0.00
7.32,3.76,8.07,3.93,13.97,3.94,4.22,10.85,5.91,6.64,3.97,1.00
7.37,3.83,7.75,4.22,13.43,6.84,5.22,10.80,10.54,5.25,3.92,1.00
6.85,3.61,8.14,8.41,10.99,6.46,4.42,11.01,7.78,6.34,4.15,0.00
7.68,3.63,6.75,5.78,11.93,5.14,4.96,10.18,4.55,5.75,5.08,0.00
6.80,4.22,7.74,4.27,13.10,5.95,4.51,9.71,9.00,6.25,5.60,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.46,3.76,7.71,6.42,13.21,5.48,4.16,6.25,7.54,4.97,3.96,0.00
8.21,4.01,7.76,3.95,6.41,4.76,4.21,9.10,4.15,5.58,3.87,1.00
6.67,5.47,8.73,4.72,10.35,5.24,4.12,9.68,6.09,5.88,4.02,0.00
9.44,3.63,7.76,4.01,13.27,7.94,4.68,9.58,4.21,6.92,4.12,1.00
7.39,3.48,8.58,5.14,8.87,8.42,4.09,11.14,7.05,5.54,7.92,0.00
5.95,4.08,8.03,6.24,13.73,7.94,4.04,11.37,6.77,6.30,8.74,1.00
8.82,3.70,9.15,11.81,12.45,3.87,4.61,10.51,8.08,5.40,3.51,0.00
8.44,3.66,8.37,4.01,9.43,5.13,5.10,10.34,8.07,6.21,3.83,0.00
8.07,3.71,7.74,7.74,10.66,5.18,4.40,10.85,7.65,4.90,5.29,0.00
8.30,3.40,8.73,11.72,10.52,9.03,4.20,10.09,7.01,5.13,3.97,0.00
7.26,3.75,7.87,4.89,12.76,8.91,4.74,10.92,7.73,4.83,7.12,1.00
8.60,3.70,8.53,3.94,5.85,4.30,3.81,9.40,7.84,6.27,6.65,1.00
7.43,3.65,8.19,8.54,11.64,7.21,4.05,10.00,7.65,6.17,7.49,0.00
7.53,3.74,8.47,4.19,8.37,8.05,4.06,10.74,4.10,6.93,6.06,1.00
6.25,4.84,7.15,4.86,11.85,9.12,4.16,10.75,4.60,4.87,3.94,0.00
4.38,3.38,8.48,3.56,6.68,4.20,6.18,4.97,4.10,6.26,4.11,1.00
4.17,3.64,8.32,4.38,8.73,4.65,7.23,4.10,8.80,6.09,3.95,1.00
9.99,3.34,7.20,4.03,10.76,4.64,3.74,7.42,9.90,5.35,4.27,0.00
6.43,3.54,8.09,8.67,13.52,10.02,4.51,10.57,4.30,5.51,6.45,0.00
7.07,3.83,8.55,6.19,14.18,6.68,4.50,9.72,6.13,6.36,3.76,1.00
6.78,3.78,8.00,5.30,8.34,9.82,3.92,10.48,4.22,6.30,3.72,0.00
6.76,3.53,7.74,4.15,12.45,6.99,4.75,10.41,7.07,8.04,3.93,1.00
6.73,3.67,8.87,4.82,11.03,9.46,5.17,10.22,8.58,6.91,4.31,0.00
7.21,3.50,6.87,4.68,13.16,10.32,5.63,10.61,9.05,6.32,3.84,0.00
6.78,4.12,8.39,4.99,12.42,9.45,4.47,10.94,5.99,5.60,4.49,0.00
6.53,3.56,8.24,5.23,12.87,9.53,3.83,11.65,6.63,6.70,7.97,0.00
6.96,3.72,7.80,3.57,11.63,5.31,4.20,9.88,8.53,6.47,7.74,0.00
6.09,3.25,8.52,3.93,9.04,10.87,3.38,10.56,3.72,5.33,5.82,0.00
8.78,3.61,7.94,3.95,12.96,4.12,4.46,10.10,7.74,6.72,3.84,1.00
8.70,3.68,7.57,4.27,13.76,8.08,4.34,10.78,8.24,6.17,6.57,1.00
6.46,4.28,6.53,5.88,12.61,6.51,4.17,10.75,3.90,6.70,8.96,1.00
10.08,3.51,8.71,4.47,13.92,4.27,4.27,10.46,7.61,5.94,3.70,1.00
3.96,3.81,8.72,3.79,5.10,6.50,6.27,9.69,9.29,6.84,3.89,0.00
5.95,3.67,8.32,5.78,8.66,7.05,4.07,12.00,6.42,5.25,6.32,1.00
6.57,3.55,8.26,3.82,13.22,7.42,4.18,11.10,3.84,5.96,5.18,1.00
6.79,3.51,7.62,5.85,12.90,10.58,4.05,11.04,6.65,5.26,7.16,0.00
4.72,3.51,9.04,5.57,12.96,9.06,3.95,10.72,7.26,5.46,5.75,0.00
8.52,3.52,8.19,4.45,10.35,6.88,4.40,10.70,7.25,6.21,4.07,0.00
5.32,6.85,8.12,4.44,12.69,4.18,4.42,11.56,4.58,4.84,4.66,1.00
7.04,3.59,7.98,4.77,11.24,8.30,4.26,9.17,7.75,5.75,3.77,0.00
7.99,4.73,8.15,9.99,7.25,8.47,4.29,9.74,6.78,5.36,3.71,0.00
8.44,3.44,8.92,4.16,11.11,4.66,4.53,9.50,7.38,5.52,4.85,1.00
6.83,7.32,8.15,5.89,11.92,5.06,4.14,9.33,8.37,4.79,5.11,1.00
7.86,3.64,8.72,5.87,11.85,9.10,4.45,10.70,3.86,5.74,3.84,0.00
