23199_at,23312_at,29968_at,4013_at,7699_at,80183_at,9022_at,94121_at,9760_at,label
KIAA0182,DMXL2,PSAT1,VWA5A,ZNF140,KIAA0226L,CLIC3,SYTL4,TOX
ENSG00000131149,ENSG00000104093,ENSG00000135069,ENSG00000110002,ENSG00000196387,ENSG00000102445,ENSG00000169583,ENSG00000102362,ENSG00000198846
8.09,9.18,7.59,9.31,8.34,4.08,3.99,4.88,3.53,0.00
8.98,9.60,10.65,5.46,7.88,3.98,5.61,3.79,7.66,0.00
10.27,5.08,12.44,7.06,7.65,4.22,3.90,4.15,8.50,1.00
9.21,8.88,11.65,5.65,8.22,4.11,4.99,4.44,7.35,1.00
7.39,8.39,11.23,5.31,9.18,4.80,4.33,5.99,4.05,1.00
8.61,8.70,11.12,7.70,7.11,3.92,3.84,6.42,3.86,0.00
8.53,8.70,10.81,7.24,7.49,4.01,3.77,6.27,4.29,0.00
8.62,8.40,11.41,7.24,7.55,3.99,3.90,6.25,3.96,0.00
9.94,11.26,10.09,6.12,7.84,5.03,4.00,3.50,5.99,1.00
9.61,10.49,11.80,6.01,7.26,3.88,3.78,3.75,7.16,1.00
8.66,8.25,9.40,5.44,7.84,4.08,7.62,4.15,3.65,0.00
8.66,7.94,10.15,6.93,7.84,4.15,5.31,3.63,4.52,1.00
10.63,9.28,10.68,5.53,7.37,9.69,3.93,3.63,9.59,1.00
8.83,10.42,5.29,5.50,6.70,7.04,3.76,3.87,5.14,1.00
6.91,9.52,9.81,7.48,6.66,3.84,3.80,7.74,3.95,0.00
9.63,9.23,10.96,6.15,8.00,11.38,3.91,4.07,3.70,0.00
8.50,8.77,9.86,6.57,7.71,3.85,7.25,7.13,4.23,0.00
6.50,5.42,11.77,5.71,6.11,10.87,3.99,3.42,6.97,0.00
7.59,9.01,10.02,6.53,8.37,4.28,6.92,6.85,3.79,0.00
8.29,8.99,10.53,7.95,7.96,3.69,6.49,5.84,3.70,0.00
8.27,8.31,11.23,5.85,7.20,4.92,11.44,3.81,4.70,0.00
11.09,8.90,12.61,6.96,8.64,4.42,3.94,3.83,7.64,1.00
6.63,8.42,11.10,6.01,6.96,6.87,3.68,4.48,3.56,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.06,9.40,10.31,9.47,7.02,3.88,4.04,3.79,7.50,0.00
9.24,11.46,10.80,5.73,8.67,4.43,3.81,3.71,3.72,1.00
11.32,10.59,11.02,5.28,7.90,4.01,3.75,8.20,8.27,1.00
6.36,8.90,10.32,6.12,7.76,4.07,3.66,4.74,4.20,0.00
4.65,9.36,9.65,8.62,4.97,6.64,3.73,4.61,4.38,0.00
8.00,9.58,9.51,8.33,7.16,4.53,3.50,5.48,3.63,0.00
8.92,8.81,10.10,6.77,7.87,3.96,4.88,4.26,5.00,1.00
9.72,11.02,11.39,5.46,8.33,3.90,4.12,7.18,5.82,1.00
8.34,7.01,10.24,5.42,7.38,4.35,9.59,3.80,5.60,0.00
7.15,7.80,10.41,6.91,8.11,4.50,8.04,6.82,4.78,0.00
9.06,9.10,9.33,6.67,6.83,3.88,7.08,4.40,5.23,1.00
5.08,4.24,11.70,5.38,7.60,7.39,3.62,4.29,7.78,0.00
9.62,5.07,9.76,5.20,6.13,10.44,4.21,5.18,9.52,1.00
9.84,8.48,10.31,5.63,7.31,12.89,3.77,3.45,3.84,1.00
8.06,9.95,11.08,9.87,3.96,11.49,4.00,3.59,3.74,0.00
10.15,8.23,10.65,5.31,8.46,10.49,3.98,4.15,8.02,0.00
8.77,8.96,9.57,8.29,7.55,4.46,5.72,4.16,3.64,0.00
6.97,7.93,5.41,5.12,7.82,3.85,7.98,6.74,4.73,0.00
9.91,8.66,8.70,8.11,8.03,9.68,4.68,4.82,3.55,0.00
7.87,8.34,12.36,6.57,6.48,4.01,3.98,5.76,6.11,1.00
8.92,9.62,7.42,5.05,7.95,3.75,8.81,7.10,3.62,0.00
8.45,8.39,4.37,9.37,6.48,4.10,7.91,5.99,4.42,0.00
8.50,8.94,9.26,5.95,6.20,3.88,3.59,3.94,4.07,1.00
8.21,8.67,11.67,6.62,7.69,8.07,3.86,4.96,3.75,0.00
9.05,9.47,11.73,5.07,8.82,3.68,8.44,6.21,6.61,0.00
8.34,10.35,11.00,5.33,8.14,3.99,6.89,3.87,3.80,0.00
5.61,6.16,8.75,5.42,8.38,12.52,4.04,3.55,3.76,0.00
8.00,9.70,11.47,6.32,3.72,3.77,4.64,6.04,3.53,1.00
7.17,10.03,10.23,5.26,7.25,7.70,3.60,4.25,3.66,1.00
6.91,9.43,9.79,6.52,6.15,8.26,3.61,5.81,3.62,0.00
7.04,9.71,10.28,5.35,4.49,4.67,3.84,4.65,3.84,1.00
