1365_at,144501_at,221120_at,23216_at,27345_at,2810_at,28231_at,4013_at,57613_at,64798_at,83468_at,84870_at,92745_at,label
4.08,10.42,8.94,6.06,6.50,13.05,8.57,5.21,6.13,8.18,4.34,4.23,3.90,1.00
4.14,8.50,8.84,6.15,8.05,12.79,7.63,5.61,7.01,8.50,4.49,3.76,4.47,1.00
3.80,7.53,7.64,6.70,5.39,6.00,4.54,4.82,6.72,6.33,7.91,3.73,4.24,1.00
4.07,10.08,7.63,5.45,5.55,13.81,5.57,6.25,6.35,4.96,6.58,4.03,8.25,1.00
4.27,10.41,9.01,6.60,7.21,10.01,5.78,7.10,6.88,5.21,11.33,5.44,5.04,1.00
3.81,9.25,8.92,6.23,4.72,11.98,8.32,7.45,8.07,5.39,4.49,3.80,4.58,0.00
4.11,5.41,8.88,7.48,5.14,6.59,9.03,5.73,7.45,5.19,4.35,3.93,8.86,1.00
3.78,5.14,7.68,6.97,7.67,5.98,8.32,5.28,7.81,11.43,4.49,3.76,5.33,1.00
8.84,10.30,9.10,5.76,5.87,10.72,8.02,5.11,6.64,8.46,4.36,3.51,4.21,0.00
4.03,5.57,8.81,6.01,8.25,6.11,6.68,5.36,7.29,5.27,6.50,3.81,8.06,1.00
3.94,6.06,9.66,6.64,6.16,7.51,7.32,7.95,6.29,5.46,10.62,3.75,7.02,1.00
3.97,8.50,9.56,6.71,6.32,10.90,5.98,6.12,6.95,6.07,8.53,4.05,4.56,1.00
3.88,5.49,9.05,5.93,8.55,6.40,7.94,8.62,6.70,4.96,4.55,3.85,4.65,0.00
3.96,5.31,8.84,5.96,5.49,6.76,7.75,6.02,6.60,5.52,4.52,3.99,4.18,0.00
5.23,8.34,9.02,6.32,7.30,12.31,6.73,9.15,6.35,6.38,8.24,3.61,6.61,1.00
3.98,6.08,9.12,5.91,7.59,5.85,7.94,6.79,6.42,6.77,5.13,4.04,4.34,0.00
9.07,6.74,9.47,4.75,4.95,12.19,9.39,5.46,5.16,11.02,4.22,3.58,8.55,1.00
4.11,10.99,8.76,6.08,9.16,8.39,7.76,5.42,6.32,5.69,6.49,8.51,4.40,0.00
4.22,10.68,8.52,5.96,5.51,11.84,6.37,7.20,6.34,5.42,4.60,4.15,4.85,0.00
4.28,10.62,9.10,5.95,6.07,6.06,8.97,6.91,6.49,5.26,4.84,3.76,4.54,0.00
4.75,10.76,7.04,6.62,7.69,6.94,9.51,5.20,5.89,7.71,3.96,4.28,4.97,0.00
8.64,9.51,9.12,6.03,7.24,12.29,10.25,6.64,6.76,7.52,4.39,4.02,4.10,0.00
8.65,10.48,8.69,5.98,8.96,10.98,11.76,8.57,7.38,5.74,5.36,4.14,4.07,0.00
4.41,5.12,9.35,9.48,11.26,6.91,8.63,5.20,7.60,11.43,4.34,3.92,5.21,1.00
3.76,4.97,4.13,7.17,7.35,7.54,6.89,5.43,5.74,12.42,4.41,4.31,8.51,1.00
4.23,6.42,4.99,5.00,5.02,9.22,7.19,9.87,6.77,5.10,4.25,3.96,6.90,0.00
4.07,5.07,5.03,6.68,7.22,6.88,7.98,5.31,6.21,4.80,4.42,4.07,7.34,0.00
3.59,10.70,7.98,6.84,7.27,5.93,11.37,8.05,7.31,6.28,4.46,7.80,4.27,0.00
6.87,10.22,9.31,6.54,5.30,13.55,10.71,6.28,7.68,9.17,4.39,3.82,8.57,1.00
4.00,5.81,8.95,5.97,5.73,6.08,7.03,6.57,5.93,8.14,10.93,3.79,4.48,1.00
7.02,9.98,7.19,6.29,6.25,11.39,8.24,8.33,6.08,5.28,7.12,4.35,4.23,0.00
3.70,8.21,9.76,6.45,4.92,13.10,10.81,5.64,6.94,5.80,5.92,4.01,4.54,1.00
4.51,9.98,4.50,6.88,5.65,13.83,9.85,9.37,6.54,6.01,4.46,8.83,4.64,0.00
10.85,8.92,9.73,5.46,8.42,12.17,5.00,7.24,6.93,9.72,6.68,3.66,4.25,0.00
11.61,9.26,9.17,5.66,4.93,12.89,10.33,5.58,6.65,7.21,4.26,3.79,8.54,0.00
