ENSG00000131149,ENSG00000104093,ENSG00000135069,ENSG00000110002,ENSG00000196387,ENSG00000102445,ENSG00000169583,ENSG00000102362,ENSG00000198846,label
9.31,4.57,7.81,3.19,7.28,3.56,2.79,4.26,3.87,0.00
9.36,4.13,7.94,3.20,6.98,3.41,2.72,3.16,2.98,0.00
7.56,4.54,9.49,3.04,5.08,3.16,2.68,7.05,3.08,0.00
8.57,6.47,8.36,4.27,6.65,6.08,2.94,3.89,2.80,0.00
7.65,3.77,9.21,3.60,6.19,3.11,7.37,4.88,3.18,0.00
10.39,6.99,8.17,4.27,6.42,3.19,3.00,3.18,4.91,0.00
9.46,4.02,8.71,3.53,6.60,3.21,2.73,5.41,5.42,0.00
9.76,4.93,7.82,4.08,7.07,3.42,2.87,3.41,5.92,0.00
9.05,3.42,7.76,4.37,6.91,3.09,3.00,3.33,2.97,0.00
7.58,3.73,6.47,3.79,5.95,3.20,4.00,3.57,2.90,0.00
8.98,3.97,8.41,5.95,7.25,3.35,3.03,3.03,6.56,0.00
10.21,6.55,6.71,3.11,6.10,3.31,2.90,6.06,2.87,0.00
9.38,3.86,7.02,4.30,7.96,3.16,3.01,3.44,4.70,0.00
7.41,3.42,6.78,3.86,6.68,3.07,3.73,3.20,3.11,0.00
7.48,3.78,4.17,3.31,6.43,3.84,3.12,3.12,3.06,0.00
7.52,4.29,9.39,3.29,7.67,3.49,3.79,3.14,5.62,0.00
7.82,4.72,4.05,3.23,6.30,4.10,3.05,3.26,3.44,0.00
8.78,3.80,9.62,3.05,8.10,3.05,3.27,4.49,2.70,1.00
7.12,3.30,8.55,3.21,5.66,4.84,3.31,3.23,4.02,0.00
6.87,3.69,7.27,3.37,7.56,8.23,2.87,3.12,3.16,0.00
8.08,4.46,7.44,3.41,7.21,5.17,2.81,3.37,3.23,0.00
7.47,3.79,9.47,3.21,7.74,3.07,3.04,3.39,2.96,0.00
8.67,3.55,8.62,4.15,5.49,3.21,9.70,3.21,2.81,0.00
7.40,4.06,7.70,6.00,5.07,2.87,2.54,4.33,3.98,0.00
6.62,4.43,7.44,4.07,6.13,3.24,2.53,3.66,2.91,0.00
6.94,4.71,8.31,5.92,3.09,3.19,2.65,4.56,3.01,0.00
8.69,5.38,9.25,3.25,5.65,3.21,2.83,4.28,3.24,0.00
5.29,4.52,7.05,6.18,4.18,4.36,2.97,4.49,2.91,0.00
8.02,4.73,9.16,5.59,7.46,5.73,2.81,4.58,2.89,0.00
6.81,4.99,10.24,3.09,7.01,3.69,2.80,3.30,2.89,0.00
9.47,3.69,8.42,3.29,7.58,6.79,2.69,3.40,4.93,0.00
6.72,3.98,4.17,4.22,6.23,3.11,2.70,3.65,2.91,0.00
7.68,5.10,9.34,3.41,6.59,3.22,2.77,4.00,2.92,0.00
8.91,4.07,8.98,3.76,6.41,6.28,2.86,3.53,2.99,0.00
7.97,7.02,7.69,4.93,6.46,3.36,2.75,3.45,2.87,0.00
7.91,3.23,7.84,3.13,6.66,4.44,3.00,3.26,5.63,0.00
7.11,3.52,7.37,3.26,6.72,3.38,3.86,3.33,4.20,0.00
7.87,3.55,9.82,3.29,5.41,3.08,4.24,3.29,3.85,0.00
8.07,5.30,7.41,4.73,6.75,3.06,2.74,3.87,3.31,0.00
7.62,3.62,10.10,3.38,3.20,3.18,2.77,3.36,3.01,0.00
8.07,5.57,8.22,2.94,7.26,3.04,2.94,3.33,2.91,0.00
8.41,5.13,8.64,6.73,6.23,3.45,4.63,4.75,3.08,0.00
8.19,5.14,9.68,4.12,7.89,3.32,3.03,3.71,2.93,0.00
10.06,4.05,9.55,4.44,7.41,3.17,2.84,4.06,3.04,0.00
8.89,4.84,8.58,3.14,7.02,3.08,2.97,4.78,3.11,0.00
7.71,3.87,11.03,3.59,4.92,3.15,2.73,3.56,2.97,0.00
8.62,4.55,9.26,3.55,6.21,3.14,2.91,3.76,2.88,0.00
6.55,4.00,9.20,4.00,5.81,3.67,2.64,3.26,2.95,0.00
8.90,4.79,9.58,3.08,7.42,3.13,2.74,3.22,2.84,0.00
9.59,5.05,9.38,3.19,5.74,3.42,2.87,4.77,3.04,0.00
7.87,4.11,8.84,3.22,8.33,3.42,7.48,3.13,2.96,1.00
8.29,3.33,7.00,3.42,6.76,3.26,4.87,3.44,2.93,0.00
9.25,3.30,9.03,3.05,4.40,9.94,3.00,3.38,3.05,0.00
7.83,4.47,8.29,3.11,6.34,3.32,3.01,3.27,4.84,0.00
9.24,5.58,9.19,3.29,7.37,3.06,2.92,3.79,4.02,0.00
8.36,4.02,8.16,3.21,8.17,3.71,2.95,3.28,4.20,0.00
9.11,4.12,9.40,3.09,5.94,7.86,6.88,4.63,2.96,0.00
9.24,3.42,7.90,3.14,5.83,9.39,2.72,3.34,2.97,0.00
7.71,4.47,6.86,3.20,6.70,3.21,8.31,3.50,3.05,0.00
5.52,3.95,7.77,4.58,6.32,3.49,2.78,3.83,2.90,0.00
4.36,3.60,8.34,3.15,6.38,3.04,3.01,4.16,3.03,0.00
8.11,3.65,8.41,3.92,5.45,3.41,3.34,3.27,2.88,0.00
5.51,3.53,4.45,4.32,6.52,3.45,3.09,3.48,2.95,0.00
9.08,5.10,7.05,2.99,6.13,3.21,2.89,3.72,4.90,0.00
7.72,3.07,8.71,3.29,6.58,3.25,3.29,3.28,2.94,0.00
7.26,3.72,8.56,3.37,6.54,3.48,4.03,3.70,3.95,0.00
7.78,4.18,8.29,3.05,7.12,3.03,3.31,3.18,3.11,0.00
8.51,5.18,9.36,3.24,6.29,3.26,2.95,3.00,3.11,0.00
7.90,4.48,3.72,3.68,7.05,3.03,2.72,4.79,2.76,0.00
8.77,4.53,9.30,2.99,6.95,8.38,3.68,3.48,2.83,0.00
8.86,4.13,7.86,3.03,5.93,3.75,2.92,4.08,2.86,0.00
7.06,3.56,8.47,4.16,6.45,3.14,7.17,3.65,2.93,0.00
6.15,3.95,6.74,4.46,6.51,3.00,2.81,3.45,3.90,0.00
6.18,4.28,6.52,4.89,6.23,3.31,3.33,4.06,3.00,0.00
7.99,3.50,8.24,3.10,6.45,3.34,2.88,3.11,2.96,0.00
5.74,4.74,10.42,5.76,5.38,3.43,2.83,3.42,2.95,0.00
7.26,3.83,8.31,7.96,6.46,5.23,2.62,3.71,2.85,0.00
6.60,3.73,8.81,3.45,6.84,3.17,9.24,4.01,3.12,0.00
9.68,3.95,9.24,3.06,6.29,3.14,4.77,3.01,2.83,0.00
