ENSG00000163359,ENSG00000152661,ENSG00000129038,ENSG00000196611,ENSG00000113269,ENSG00000080823,ENSG00000127074,ENSG00000166510,ENSG00000142765,label
3.54,3.70,3.39,2.83,10.30,3.51,2.96,2.87,6.48,1.00
3.19,3.38,3.29,3.21,10.23,5.40,2.73,2.90,7.72,1.00
3.44,5.23,9.43,3.11,5.89,6.79,2.82,2.93,3.25,1.00
3.93,5.74,7.73,3.05,8.87,4.09,2.64,2.82,4.84,1.00
3.12,3.73,3.76,3.54,3.29,4.09,2.63,3.86,3.23,1.00
3.06,5.59,7.07,3.00,8.46,6.23,7.22,3.13,3.46,1.00
3.28,3.53,5.03,2.80,8.30,3.82,2.79,2.80,5.02,1.00
3.14,3.74,10.33,2.91,8.34,4.62,2.81,3.09,3.61,1.00
3.15,3.48,4.98,2.92,7.63,6.61,2.80,2.80,3.04,1.00
3.21,5.78,7.42,13.02,8.31,5.09,2.67,2.76,7.08,1.00
3.25,3.83,3.94,3.23,3.60,3.92,2.73,2.97,3.31,1.00
3.04,4.83,6.20,4.66,8.98,4.40,2.91,4.15,3.14,0.00
3.52,3.76,5.26,3.26,8.51,4.63,3.39,3.05,6.28,1.00
3.08,3.57,5.74,3.26,8.37,3.71,3.02,3.15,8.67,1.00
3.04,3.47,7.02,3.00,9.19,5.19,2.59,2.83,5.46,1.00
3.06,3.60,4.19,3.13,8.74,3.74,2.66,3.01,3.70,1.00
3.78,3.85,5.01,3.06,3.31,4.19,10.85,3.11,5.24,1.00
3.06,3.62,3.95,3.06,8.88,4.19,2.81,2.96,5.44,1.00
3.10,4.25,4.81,3.26,8.11,4.13,2.97,2.96,4.36,1.00
3.13,3.61,5.03,7.66,8.63,5.05,2.59,2.86,3.68,1.00
3.01,3.52,4.06,3.50,3.84,3.73,8.61,2.95,6.61,1.00
3.42,4.01,3.19,3.08,8.10,5.94,2.87,2.74,5.87,1.00
3.26,3.48,3.70,3.03,7.92,3.77,2.60,2.82,3.42,1.00
12.17,5.91,11.30,5.48,7.56,5.30,2.60,2.93,3.27,1.00
3.04,3.30,3.85,3.96,9.98,7.50,4.97,2.83,2.97,1.00
10.21,4.74,4.89,3.52,5.68,3.94,2.53,2.76,3.00,1.00
11.03,4.32,10.39,11.81,8.17,7.18,2.53,2.86,3.19,1.00
3.13,4.63,4.17,3.15,10.08,3.80,2.78,3.01,8.04,1.00
3.25,3.59,4.02,3.78,8.13,3.99,2.67,2.86,2.91,1.00
3.07,5.50,7.68,2.92,8.46,4.12,2.82,2.87,3.31,1.00
3.25,4.66,6.68,3.10,7.97,7.70,5.84,2.85,4.01,1.00
3.10,3.55,4.38,3.03,3.30,4.26,2.69,2.95,4.84,1.00
3.77,3.32,3.35,3.60,7.87,9.07,2.66,2.95,3.27,1.00
5.04,3.49,3.72,3.33,8.76,7.18,2.97,2.96,3.45,1.00
3.10,3.56,6.77,6.91,8.27,5.45,2.64,4.29,4.24,1.00
3.24,3.61,5.15,3.21,9.84,3.66,2.79,2.97,4.52,1.00
3.12,3.70,5.16,3.24,10.54,3.95,2.73,2.98,6.08,1.00
3.17,3.71,4.94,3.13,3.42,4.10,11.28,2.97,4.05,1.00
3.06,4.47,11.02,3.07,8.69,4.88,2.54,2.93,5.97,1.00
6.28,3.80,5.20,3.10,4.37,4.62,3.10,2.94,3.53,1.00
3.01,3.56,3.73,2.97,3.40,4.38,10.83,2.86,5.04,1.00
3.30,3.60,3.96,3.20,4.07,4.04,2.83,2.90,3.31,1.00
3.11,3.86,4.58,3.08,3.66,3.65,2.98,2.93,4.54,1.00
5.05,4.86,3.91,12.25,8.37,7.81,2.87,3.96,3.43,1.00
3.06,3.52,5.67,3.79,7.80,6.50,2.72,5.25,4.97,1.00
3.40,3.73,4.42,2.92,9.87,3.32,2.72,2.88,5.77,1.00
3.03,3.41,4.97,3.02,8.19,4.41,2.95,3.07,3.10,1.00
12.05,4.12,10.09,12.23,8.70,6.54,2.81,2.93,3.36,1.00
3.20,4.27,3.78,3.01,6.49,3.82,3.15,2.93,3.32,1.00
3.52,3.67,7.01,3.42,3.96,3.84,8.12,2.90,4.75,1.00
3.06,3.96,2.86,2.94,3.62,3.76,2.82,2.82,7.07,1.00
3.29,3.47,8.22,2.98,8.13,8.35,2.75,2.92,4.81,1.00
3.13,3.62,3.53,2.97,3.81,4.94,10.90,2.97,9.03,1.00
3.08,3.79,3.75,3.10,3.59,4.74,10.76,2.93,5.82,1.00
3.38,3.61,2.83,4.34,8.15,4.58,2.87,3.83,4.32,1.00
3.23,3.71,4.16,2.98,4.04,4.23,7.11,2.82,7.59,1.00
3.02,3.66,5.99,2.86,8.67,4.90,2.66,3.29,4.55,1.00
3.17,3.90,3.61,9.97,7.21,4.91,2.77,4.48,6.46,1.00
3.19,3.84,3.88,3.24,3.06,4.27,2.61,2.95,3.30,1.00
3.11,3.39,3.44,6.11,8.69,7.57,2.66,2.77,2.95,1.00
4.73,5.62,7.84,12.64,4.32,9.46,2.82,2.89,3.31,1.00
10.68,4.29,5.00,3.26,6.41,5.27,2.62,2.98,3.16,1.00
3.18,5.54,5.19,2.90,8.20,3.74,2.64,2.95,3.60,1.00
12.38,6.43,11.57,3.15,8.22,8.41,2.92,2.85,3.02,1.00
3.32,3.42,6.80,3.11,9.11,4.19,2.60,2.81,6.81,1.00
3.03,3.18,6.43,7.86,7.67,3.73,2.63,3.69,4.05,1.00
3.51,3.11,3.02,3.02,3.54,6.87,2.88,2.75,3.20,1.00
5.54,7.96,10.75,3.00,7.13,9.60,2.75,4.22,3.25,1.00
3.86,5.96,10.45,2.97,8.80,5.90,2.72,2.84,2.99,1.00
9.89,4.44,8.24,8.85,8.57,9.58,2.75,4.28,3.52,1.00
6.79,3.53,3.99,2.97,3.96,4.28,5.45,2.98,3.37,1.00
3.46,4.57,4.05,2.88,8.56,4.01,2.84,3.03,3.35,1.00
3.14,3.49,4.79,3.31,9.94,7.09,2.90,2.97,3.25,1.00
10.13,5.37,10.03,3.04,6.75,7.53,2.71,2.83,3.31,1.00
3.07,4.40,4.87,11.28,6.82,5.49,2.64,3.66,6.21,0.00
5.86,4.20,3.20,2.91,3.78,3.98,2.59,2.93,3.13,1.00
3.33,3.26,6.03,2.97,8.76,4.49,2.47,2.81,6.25,1.00
7.48,5.62,11.45,3.14,8.16,8.72,2.78,2.92,3.21,1.00
11.92,6.30,11.07,3.18,8.02,9.11,2.49,2.82,3.14,1.00
3.49,6.05,11.25,3.02,8.80,6.53,2.77,3.09,3.24,1.00
12.26,7.18,10.82,5.29,8.55,5.69,2.76,2.85,3.19,1.00
3.33,3.80,4.38,7.31,4.04,4.12,4.41,3.09,5.22,1.00
3.20,3.69,3.36,3.10,7.90,4.43,2.72,2.74,6.57,1.00
3.06,5.01,7.02,5.45,8.90,6.45,2.77,2.65,3.63,1.00
3.18,4.24,4.98,3.00,8.78,5.89,2.92,2.87,3.56,1.00
3.08,5.27,7.54,3.46,8.25,4.68,2.93,3.11,4.27,1.00
3.48,3.80,3.83,3.15,8.36,4.53,2.68,3.00,3.63,1.00
3.13,4.67,6.12,3.00,8.99,5.21,2.61,2.74,3.61,1.00
3.76,4.47,8.09,3.40,8.09,6.60,2.65,2.82,3.24,1.00
3.26,3.80,6.83,4.02,7.82,4.73,2.76,3.05,3.66,0.00
3.17,3.64,4.63,3.11,6.73,5.69,2.53,4.44,4.35,1.00
10.72,3.66,6.97,3.08,7.69,5.19,2.78,8.35,3.52,1.00
6.03,3.50,3.48,3.01,8.69,3.87,4.05,3.02,3.15,1.00
3.21,5.95,7.55,3.05,8.02,6.34,2.95,2.80,3.92,1.00
3.21,3.57,4.20,3.17,8.26,4.68,2.72,2.98,3.47,1.00
3.23,5.18,8.13,2.98,8.36,4.72,2.74,2.90,5.93,1.00
3.12,3.38,6.72,3.23,9.64,8.96,2.62,2.92,3.54,1.00
6.95,3.60,10.13,12.91,7.69,11.50,2.71,2.89,3.33,1.00
3.42,3.57,8.52,11.17,7.73,4.70,2.78,2.82,3.19,1.00
3.05,3.59,6.30,2.92,6.08,5.31,2.76,2.99,3.12,1.00
3.10,3.45,6.44,3.12,6.11,5.55,2.75,3.15,4.13,1.00
3.29,3.31,4.64,3.01,6.95,3.98,11.57,2.88,3.31,1.00
3.23,3.67,8.28,3.05,9.15,4.07,2.83,2.83,3.21,1.00
4.14,4.23,5.46,3.00,7.59,8.62,2.58,2.99,6.09,1.00
7.88,3.59,5.06,3.07,10.70,3.62,2.90,3.11,5.58,1.00
3.18,3.77,4.03,4.59,9.65,3.45,2.65,2.87,5.01,1.00
3.34,3.57,5.83,4.19,7.87,4.46,2.67,5.11,6.12,1.00
3.22,3.44,3.93,2.96,3.22,3.82,2.79,2.93,7.14,1.00
3.43,3.42,4.34,2.93,8.18,3.99,2.47,3.13,5.36,1.00
3.09,3.73,4.67,2.82,7.39,4.13,4.73,2.88,3.24,1.00
3.05,3.52,4.13,2.96,4.06,3.62,7.24,2.71,5.52,1.00
3.37,3.56,4.37,3.04,3.83,3.80,11.56,3.00,3.77,1.00
3.20,4.63,5.35,9.25,8.53,4.90,2.75,3.32,3.78,1.00
3.24,3.27,7.65,3.00,9.28,3.93,2.50,2.94,4.96,1.00
3.15,3.79,4.02,3.05,4.06,4.43,6.71,2.89,7.07,0.00
3.13,3.69,4.05,3.12,8.27,3.50,3.50,2.90,4.75,1.00
3.01,4.01,4.10,3.00,5.91,5.16,2.77,4.06,7.01,1.00
3.17,4.87,5.33,3.09,8.73,9.19,3.12,3.03,7.20,1.00
