ENSG00000075213,ENSG00000114771,ENSG00000112137,ENSG00000185022,ENSG00000115461,ENSG00000221968,ENSG00000152952,ENSG00000087253,ENSG00000101311,ENSG00000151692,label
3.37,3.04,2.80,4.57,5.00,5.91,8.79,6.24,5.28,4.27,0.00
3.61,3.12,6.56,4.88,3.21,6.48,8.26,3.94,3.28,6.13,0.00
3.47,3.15,5.04,5.84,3.17,7.41,8.69,7.10,3.44,4.62,0.00
3.49,2.92,4.14,3.91,4.32,6.92,6.61,4.52,4.35,5.07,0.00
3.13,3.31,3.77,3.31,3.38,6.26,9.27,3.26,3.87,5.18,1.00
3.41,3.00,4.61,3.56,3.23,7.40,3.16,3.42,3.59,4.50,1.00
6.57,4.25,3.12,3.77,3.24,8.18,8.09,4.22,4.67,3.43,1.00
3.22,2.85,5.52,3.49,3.48,9.90,3.54,3.30,3.45,3.84,1.00
3.37,3.32,3.28,3.39,3.32,7.74,3.10,3.13,3.49,4.77,0.00
5.87,3.26,3.60,3.63,3.14,4.51,3.82,5.13,4.43,4.26,1.00
4.76,3.34,3.57,4.04,9.20,7.64,10.37,4.83,4.48,3.61,1.00
3.21,2.96,3.37,3.57,3.62,4.56,3.22,5.12,3.77,5.77,0.00
3.35,3.00,5.52,3.54,3.17,10.00,2.96,3.40,3.50,3.62,1.00
4.05,3.24,4.04,3.71,3.09,7.54,2.97,3.13,3.33,3.75,1.00
5.05,3.17,3.13,3.65,4.49,5.37,7.85,4.00,5.73,4.57,0.00
7.42,2.93,3.05,4.52,3.20,7.23,2.99,3.67,5.45,4.15,1.00
9.76,3.63,3.18,4.39,3.08,4.88,3.05,3.41,6.55,3.71,0.00
3.64,4.66,3.28,4.16,3.15,4.22,4.57,4.33,7.53,3.63,1.00
4.05,3.28,3.11,3.58,3.95,5.95,10.64,3.30,3.25,4.28,1.00
4.54,3.14,3.74,3.76,3.23,4.84,3.31,6.80,4.34,4.14,0.00
7.92,3.09,3.24,3.92,3.22,6.87,6.87,7.03,5.96,3.72,0.00
3.53,2.83,4.65,3.64,3.89,6.46,6.23,3.78,3.76,4.64,1.00
2.89,3.17,3.37,3.79,9.76,3.96,8.97,3.26,3.37,4.75,1.00
3.39,2.85,3.27,4.23,3.30,6.56,7.90,3.18,3.26,4.52,1.00
4.15,2.94,3.06,3.96,3.30,7.01,10.26,5.61,3.64,3.92,1.00
10.23,3.72,3.12,3.91,3.35,3.47,8.80,3.27,5.75,3.59,1.00
3.20,3.05,3.94,3.80,3.47,4.62,9.45,3.45,4.79,5.38,1.00
8.70,5.86,2.99,3.69,4.26,7.24,9.21,3.05,7.48,3.62,0.00
4.80,3.08,3.41,3.43,3.25,5.74,6.34,5.56,3.67,4.66,1.00
6.22,3.14,3.27,3.71,6.61,7.03,11.70,4.86,4.45,3.98,0.00
6.30,3.05,8.77,3.92,3.45,5.71,3.29,3.68,3.52,4.55,1.00
3.31,3.09,3.19,3.43,3.26,5.67,3.37,3.26,3.42,4.66,1.00
3.10,3.20,4.41,3.77,3.23,6.55,3.44,3.23,3.75,3.47,1.00
6.17,3.25,3.07,4.42,3.16,6.10,4.83,4.47,8.23,3.87,0.00
3.38,3.04,4.67,3.63,3.25,8.29,2.87,4.65,3.50,4.89,1.00
6.37,3.10,6.31,3.71,3.38,3.71,9.99,3.11,3.75,4.92,1.00
7.97,3.09,3.22,4.40,3.27,7.43,3.09,4.45,6.89,4.30,0.00
3.31,3.06,3.26,3.77,4.85,4.84,7.38,3.45,8.76,3.60,1.00
6.24,3.09,5.53,4.06,3.34,4.96,9.39,3.01,3.69,3.62,1.00
3.27,2.88,3.08,3.67,3.13,5.62,2.97,3.58,3.74,4.69,1.00
3.73,3.28,5.05,3.55,3.28,6.78,3.04,3.27,3.32,4.29,1.00
3.69,3.02,5.25,4.29,3.42,6.94,7.78,6.68,3.68,5.11,0.00
5.25,6.13,3.06,4.02,3.22,7.72,9.51,4.77,8.02,3.46,1.00
6.29,2.91,3.11,4.43,3.12,7.13,9.43,5.59,7.56,3.60,1.00
4.97,3.47,4.99,3.84,3.20,5.40,8.87,4.18,5.69,3.84,1.00
6.90,3.25,3.07,4.20,4.28,8.15,9.98,4.26,3.75,4.42,0.00
4.12,3.12,7.15,4.88,3.06,6.86,8.52,3.88,3.05,5.83,0.00
7.06,3.12,3.11,4.73,2.93,7.87,8.85,3.14,3.50,4.78,0.00
3.32,3.02,2.97,3.92,3.13,6.75,8.09,4.15,4.99,3.67,0.00
9.25,4.24,3.61,4.20,4.89,6.05,10.53,4.21,5.68,3.59,0.00
4.33,3.09,3.73,3.71,3.21,5.92,6.48,7.79,6.57,4.38,0.00
5.41,3.39,5.37,4.79,3.10,4.90,8.48,4.16,2.93,5.42,0.00
4.24,3.16,8.69,6.01,3.15,5.12,7.58,6.15,3.62,6.97,0.00
