ENSG00000154639,ENSG00000151012,ENSG00000175591,ENSG00000102595,ENSG00000142765,ENSG00000171004,ENSG00000128512,label
4.26,6.60,3.46,3.88,3.16,3.30,3.54,0.00
4.91,5.06,3.23,3.88,3.27,3.15,3.44,0.00
6.40,5.71,3.04,3.20,5.98,3.25,4.77,0.00
6.89,5.13,2.89,4.21,3.60,4.18,4.15,0.00
3.33,6.32,3.02,4.41,3.02,3.09,3.77,0.00
3.22,6.71,3.07,2.98,4.90,3.19,3.55,0.00
3.19,6.83,7.71,4.01,6.64,3.09,3.62,0.00
4.49,5.65,4.39,4.66,6.81,5.15,3.39,0.00
5.85,7.55,3.96,4.90,4.05,5.38,4.65,0.00
5.94,6.23,3.82,3.87,5.43,3.09,4.25,0.00
3.68,6.64,2.86,4.05,3.25,3.08,3.54,0.00
5.52,6.04,2.78,4.74,2.99,3.60,4.32,0.00
3.01,5.10,2.95,4.04,3.52,3.68,5.86,0.00
4.42,5.03,3.43,4.22,3.37,3.15,3.90,0.00
3.34,5.88,2.79,4.64,3.25,3.73,3.98,0.00
4.83,6.13,3.11,4.07,3.40,3.09,3.56,0.00
2.98,7.06,2.93,4.01,3.31,3.00,3.97,0.00
7.89,6.40,4.14,4.08,3.21,3.25,5.46,0.00
4.86,9.28,5.24,3.99,5.25,6.57,3.43,1.00
6.01,6.35,5.70,4.69,6.21,5.37,3.67,1.00
2.77,7.57,2.91,2.90,3.13,3.04,3.53,0.00
4.58,4.48,7.37,3.23,6.25,4.52,3.56,1.00
3.01,8.84,3.10,4.15,3.21,3.14,3.77,0.00
2.99,7.40,3.01,3.98,3.14,3.14,3.48,0.00
3.56,4.93,3.26,4.18,5.22,3.04,3.69,0.00
3.19,5.31,3.12,4.34,6.57,5.54,3.55,0.00
5.70,6.18,3.11,3.40,3.63,4.22,4.09,0.00
5.41,6.88,2.98,4.07,4.88,3.75,4.00,0.00
4.78,7.15,3.00,3.42,3.56,3.69,4.11,0.00
5.84,7.11,3.25,3.01,4.27,3.61,3.72,0.00
4.68,7.40,3.05,3.08,3.63,3.05,3.74,0.00
5.25,6.03,2.77,3.58,3.61,3.22,4.19,0.00
3.73,7.28,2.86,3.85,3.24,3.22,3.95,0.00
2.94,5.94,2.95,3.93,4.35,8.07,4.24,0.00
4.22,6.51,2.89,4.30,4.23,5.29,3.85,0.00
4.58,5.06,3.18,4.01,3.52,5.97,7.30,0.00
5.58,7.31,3.05,3.71,3.15,3.01,5.01,0.00
7.52,7.01,2.78,3.94,3.92,6.09,4.97,0.00
5.17,4.06,3.11,3.67,3.37,5.07,4.64,0.00
6.60,5.55,2.84,4.93,3.30,4.24,4.53,0.00
4.62,6.11,3.02,3.89,3.47,3.15,3.76,0.00
4.31,4.42,3.17,4.04,3.44,4.77,3.75,0.00
5.39,7.37,2.91,2.77,5.93,3.66,3.52,0.00
3.01,6.56,3.19,4.23,3.33,3.06,4.67,0.00
3.78,6.26,2.93,4.39,3.19,2.96,6.12,0.00
3.64,4.38,2.86,3.96,3.12,6.28,5.49,0.00
6.91,6.76,2.97,4.57,4.13,2.87,3.48,0.00
6.28,4.28,3.23,3.52,3.31,4.82,3.68,0.00
3.20,5.61,3.13,4.02,3.21,4.98,5.09,0.00
3.82,6.09,3.18,3.84,6.09,4.27,3.85,0.00
2.80,4.97,3.11,3.09,5.58,4.23,3.47,0.00
2.78,7.51,6.79,4.18,5.01,3.06,3.81,0.00
6.78,6.39,3.84,4.21,6.12,3.03,6.40,0.00
3.22,5.35,2.72,2.64,5.30,3.07,3.57,0.00
3.13,7.58,2.88,4.90,7.14,3.49,3.61,0.00
5.84,7.42,2.85,4.38,5.36,3.08,4.67,0.00
3.22,7.11,3.06,3.05,3.24,3.75,3.75,0.00
3.60,6.91,3.18,2.75,5.52,3.17,4.65,0.00
2.94,5.51,3.18,4.11,3.77,3.14,3.58,0.00
3.12,7.72,3.55,4.43,3.78,3.08,3.79,0.00
7.31,4.89,3.50,3.18,4.96,6.18,3.57,0.00
3.46,5.64,3.23,3.36,7.07,3.07,3.44,0.00
3.44,6.24,3.10,2.75,4.75,3.05,3.37,0.00
2.79,5.63,3.36,4.23,6.42,3.11,3.80,0.00
6.08,8.07,3.34,4.85,7.01,2.98,3.60,0.00
2.77,6.93,4.16,4.65,7.20,3.16,3.36,0.00
3.73,5.09,2.97,3.69,3.37,6.73,4.63,0.00
3.04,4.80,3.25,3.56,3.52,3.17,3.72,0.00
3.29,5.04,2.91,4.24,5.73,3.28,5.85,0.00
3.06,8.41,2.91,5.11,3.68,4.89,3.41,0.00
3.27,7.13,3.01,4.07,7.14,5.64,3.61,0.00
3.11,4.53,2.86,4.02,6.35,3.08,3.32,0.00
2.98,5.33,3.02,3.99,3.30,3.13,3.33,0.00
3.43,4.72,5.80,2.69,6.96,3.25,4.15,0.00
3.14,6.21,3.43,3.96,5.50,3.07,3.31,0.00
3.47,5.97,8.94,3.82,7.30,3.16,3.48,0.00
6.23,4.75,3.13,3.87,3.15,3.33,3.34,0.00
3.06,4.74,3.13,3.07,5.77,3.39,3.64,0.00
3.23,4.57,7.18,3.35,5.82,5.30,3.50,0.00
3.31,5.82,3.03,4.72,3.88,3.23,3.69,0.00
3.06,7.48,3.11,4.31,4.87,3.20,3.38,0.00
3.04,6.44,7.52,2.98,4.83,3.16,3.53,0.00
3.54,7.63,3.10,4.78,3.33,3.19,3.62,0.00
2.59,6.16,3.01,2.46,5.26,3.31,3.31,0.00
3.30,8.01,3.07,5.26,3.25,3.19,3.42,0.00
3.95,4.86,2.89,4.74,3.35,3.03,3.59,0.00
5.22,8.87,3.12,3.88,3.50,7.62,3.99,0.00
2.95,4.57,3.08,4.32,3.67,3.25,3.36,0.00
3.48,5.80,3.20,3.76,7.62,3.24,3.75,0.00
3.24,8.83,3.41,4.23,3.41,3.17,4.02,0.00
2.72,6.37,3.08,5.02,5.92,3.24,3.46,0.00
