144501_at,22882_at,23283_at,26751_at,27445_at,3487_at,3861_at,55086_at,5644_at,56952_at,5711_at,64073_at,79633_at,84189_at,875_at,label
8.45,7.05,8.75,6.03,5.03,11.91,3.90,6.43,3.82,9.04,8.03,10.62,8.46,7.91,6.15,1.00
5.34,7.26,7.88,9.13,4.09,11.00,3.85,5.36,3.78,8.81,9.26,11.56,6.66,3.96,4.69,1.00
9.10,6.31,8.53,11.49,4.64,4.76,3.90,4.97,3.94,9.54,8.73,11.62,4.17,7.10,9.86,1.00
10.02,6.94,8.80,6.64,8.39,9.68,4.73,4.33,4.31,9.95,9.29,10.66,5.60,4.47,7.16,0.00
9.82,5.80,8.56,7.96,4.75,10.27,3.81,4.40,4.41,3.76,9.09,10.87,6.75,3.95,7.02,0.00
8.15,6.79,7.84,9.61,7.16,8.85,4.25,3.91,3.92,11.08,9.42,11.50,9.27,5.93,8.10,1.00
9.91,7.63,6.80,11.08,6.71,9.61,7.42,5.78,4.04,6.99,9.80,11.92,6.57,6.78,8.02,1.00
9.12,5.98,8.88,8.01,3.75,6.36,4.18,8.00,4.04,9.83,9.01,8.63,6.05,3.92,7.11,0.00
5.43,5.89,7.90,5.64,5.57,9.64,3.64,4.49,4.21,11.26,8.59,6.22,5.82,3.94,7.59,0.00
5.31,4.98,8.61,10.73,8.30,4.24,4.00,9.91,3.95,10.48,8.70,4.13,4.88,5.34,9.12,0.00
9.01,8.52,8.91,12.35,3.60,7.70,5.69,7.48,4.41,9.11,9.52,11.68,3.68,4.84,4.27,1.00
4.50,6.18,9.35,9.12,3.77,8.55,4.07,4.13,4.43,7.11,8.53,4.15,4.23,5.47,11.24,1.00
10.16,10.37,8.35,9.72,4.09,8.28,3.55,6.12,4.61,8.23,9.10,11.36,5.32,3.95,9.56,1.00
6.17,6.37,8.62,13.37,4.58,5.42,4.34,4.94,4.57,3.84,8.20,11.46,6.71,4.06,6.14,1.00
10.47,7.04,8.41,9.12,5.75,6.16,3.91,8.77,3.97,9.51,9.16,9.89,7.66,3.80,8.42,0.00
5.00,7.46,7.76,9.44,3.90,6.43,3.79,4.17,4.12,4.01,8.93,3.90,3.95,3.98,4.41,0.00
5.21,10.24,8.41,5.58,4.09,4.58,4.78,9.07,4.04,4.11,8.69,3.68,6.63,5.50,4.90,0.00
4.62,7.18,7.26,8.79,3.72,9.77,3.49,7.30,10.55,9.59,8.89,11.71,4.39,4.24,9.76,0.00
5.22,7.56,6.41,11.51,4.01,9.24,4.12,4.19,4.03,8.58,7.74,12.57,5.04,4.03,9.89,1.00
9.69,9.04,6.77,7.41,3.89,4.35,4.12,4.10,4.35,6.57,8.19,11.34,8.35,3.76,7.90,1.00
